----------------------------------------------------------
                        Game Info
----------------------------------------------------------

                  Attack     Defend      Aid
               | 83.33% | | 00.00% | | 00.00% |

         Attack   Damage Dealt   Damage Success
Attack: |  10  | |    400.16   | |    75.07%    |

         Defend   Damage Taken   Damage Mitigated   Health Gained
Defend: |  00  | |    43.22   | |     05.17      | |    00.00    |

          Aid     Heal    Deffence Buff
   Aid: | 00 | | 00.00 | |    00.00    |

----------------------------------------------------------
                         Level 1
----------------------------------------------------------

Round 1

	Turn 1: Mage Uno

	Action: FireStorm

	        Skeleton Un
	        Skeleton Deux
	        Skeleton Trois
	        Skeleton Quatre

	         Damage: 0.10

	Target 2: Skeleton Un
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 4: Skeleton Deux
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 6: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 8: Skeleton Quatre
	Damage Mitigated: 0.00
	    Danage Taken: 0.10


	Turn 2: Paladin Uno

	Action: Basic Attack

	        Skeleton Un

	         Damage: 0.00

	Target 2: Skeleton Un
	Damage Mitigated: 0.00
	    Danage Taken: 0.00


	Turn 3: Paladin Dos

	Action: Basic Attack

	        Skeleton Deux

	         Damage: 0.00

	Target 2: Skeleton Deux
	Damage Mitigated: 0.00
	    Danage Taken: 0.00


	Turn 4: Skeleton Un

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 5: Skeleton Deux

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 6: Skeleton Trois

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 7: Skeleton Quatre

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 8: Mage Uno

	Action: FireStorm

	        Skeleton Un
	        Skeleton Deux
	        Skeleton Trois
	        Skeleton Quatre

	         Damage: 0.10

	Target 2: Skeleton Un
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 4: Skeleton Deux
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 6: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 8: Skeleton Quatre
	Damage Mitigated: 0.00
	    Danage Taken: 0.10



Round 2

	Turn 9: Paladin Uno

	Action: Basic Attack

	        Skeleton Trois

	         Damage: 0.00

	Target 2: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.00


	Turn 10: Paladin Dos

	Action: Basic Attack

	        Skeleton Trois

	         Damage: 0.00

	Target 2: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.00


	Turn 11: Skeleton Un

	Action: 



	Turn 12: Skeleton Deux

	Action: 



	Turn 13: Skeleton Trois

	Action: 



	Turn 14: Skeleton Quatre

	Action: 



	Turn 15: Mage Uno

	Action: 





----------------------------------------------------------
                         Level 2
----------------------------------------------------------

Round 1

	Turn 1: Ganfaul

	Action: Big Smack

	Target: Mage Uno

	         Damage: 45.00

	Target 1: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 40.50


	Turn 2: Mage Uno

	Action: 



	Turn 3: Paladin Uno

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 4: Paladin Dos

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 5: Ganfaul

	Action: AOE Slow

	        Paladin Uno
	        Paladin Dos

	         Damage: 0.25

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.17

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.17



Round 2

	Turn 6: Paladin Uno

	Action: Judgement

	Target: Ganfaul

	         Damage: 200.00

	Target 1: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 150.00


	Turn 7: Paladin Dos

	Action: Judgement

	Target: Ganfaul

	         Damage: 200.00

	Target 1: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 150.00




----------------------------------------------------------
                         Level 3
----------------------------------------------------------
