----------------------------------------------------------
                        Game Info
----------------------------------------------------------

                  Attack     Defend      Aid
               | 100.00% | | 00.00% | | 00.00% |

         Attack   Damage Dealt   Damage Success
Attack: |  12  | |    760.67   | |    87.48%    |

         Defend   Damage Taken   Damage Mitigated   Health Gained
Defend: |  00  | |    02.13   | |     00.56      | |    00.00    |

          Aid     Heal    Deffence Buff
   Aid: | 00 | | 00.00 | |    00.00    |

----------------------------------------------------------
                         Level 1
----------------------------------------------------------

Round 1

	Turn 1: Mage Uno

	Action: FireStorm

	        Skeleton Un
	        Skeleton Deux
	        Skeleton Trois
	        Skeleton Quatre

	         Damage: 0.10

	Target 2: Skeleton Un
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 4: Skeleton Deux
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 6: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 8: Skeleton Quatre
	Damage Mitigated: 0.00
	    Danage Taken: 0.10


	Turn 2: Paladin Uno

	Action: Judgement

	Target: Skeleton Un

	         Damage: 200.00

	Target 1: Skeleton Un
	Damage Mitigated: 0.00
	    Danage Taken: 200.00


	Turn 3: Paladin Dos

	Action: Judgement

	Target: Skeleton Deux

	         Damage: 200.00

	Target 1: Skeleton Deux
	Damage Mitigated: 0.00
	    Danage Taken: 200.00


	Turn 4: Skeleton Un

	Action: 



	Turn 5: Skeleton Deux

	Action: 



	Turn 6: Skeleton Trois

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 7: Skeleton Quatre

	Action: Necrotic Infection

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.10

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.07

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.09


	Turn 8: Mage Uno

	Action: FireStorm

	        Skeleton Trois
	        Skeleton Quatre

	         Damage: 0.10

	Target 2: Skeleton Trois
	Damage Mitigated: 0.00
	    Danage Taken: 0.10

	Target 4: Skeleton Quatre
	Damage Mitigated: 0.00
	    Danage Taken: 0.10




----------------------------------------------------------
                         Level 2
----------------------------------------------------------
	Turn 1: Ganfaul

	Action: AOE Slow

	        Paladin Uno
	        Paladin Dos
	        Mage Uno

	         Damage: 0.25

	Target 2: Paladin Uno
	Damage Mitigated: 0.31
	    Danage Taken: 0.17

	Target 4: Paladin Dos
	Damage Mitigated: 0.31
	    Danage Taken: 0.17

	Target 6: Mage Uno
	Damage Mitigated: 0.10
	    Danage Taken: 0.22


	Turn 2: Mage Uno

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 3: Paladin Uno

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 4: Paladin Dos

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 5: Ganfaul

	Action: 




Round 2

	Turn 6: Mage Uno

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 7: Paladin Uno

	Action: Basic Attack

	        Ganfaul

	         Damage: 0.00

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.00


	Turn 8: Paladin Dos

	Action: Judgement

	Target: Ganfaul

	         Damage: 200.00

	Target 1: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 150.00


	Turn 9: Ganfaul

	Action: 




Round 3

	Turn 10: Mage Uno

	Action: Wind Slash

	        Ganfaul

	         Damage: 0.50

	Target 2: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 0.37


	Turn 11: Paladin Uno

	Action: Judgement

	Target: Ganfaul

	         Damage: 200.00

	Target 1: Ganfaul
	Damage Mitigated: 0.25
	    Danage Taken: 150.00




----------------------------------------------------------
                         Level 3
----------------------------------------------------------
